PracticeCode,HB,HBName,Postcode,Latitude,Longitude,Easting,Northing
10002,S08000030,NHS Tayside,DD2 5NH,56.495588,-3.066043,334465,734232
10017,S08000030,NHS Tayside,PH7 3SA,56.370422,-3.84264,286283,721315
10036,S08000030,NHS Tayside,PH15 2BL,56.618507,-3.870521,285313,748970
10106,S08000030,NHS Tayside,DD5 1DU,56.468661,-2.883039,345693,731075
10125,S08000030,NHS Tayside,PH11 8EQ,56.618115,-3.229124,324669,748037
10182,S08000030,NHS Tayside,DD11 1AD,56.55899,-2.580842,364397,740931
10233,S08000030,NHS Tayside,DD11 1EN,56.560772,-2.580327,364430,741129
10286,S08000030,NHS Tayside,DD11 1ES,56.560654,-2.578535,364540,741115
10322,S08000030,NHS Tayside,DD11 1ES,56.560654,-2.578535,364540,741115
10361,S08000030,NHS Tayside,PH3 1JH,56.292871,-3.717225,293813,712484
10407,S08000030,NHS Tayside,PH10 6EF,56.586424,-3.34567,317448,744644
10445,S08000030,NHS Tayside,PH10 6BT,56.589173,-3.340687,317760,744944
10498,S08000030,NHS Tayside,DD9 7AN,56.733812,-2.650937,360273,760429
10553,S08000030,NHS Tayside,PH2 9PN,56.347989,-3.405641,313222,718181
10638,S08000030,NHS Tayside,DD7 7RB,56.500382,-2.734413,354888,734498
10708,S08000030,NHS Tayside,PH6 2LW,56.36963,-3.977414,277957,721458
10751,S08000030,NHS Tayside,PH13 9DD,56.544881,-3.26572,322273,739927
10799,S08000030,NHS Tayside,PH13 9DD,56.544881,-3.26572,322273,739927
10835,S08000030,NHS Tayside,PH7 3SA,56.370422,-3.84264,286283,721315
11005,S08000030,NHS Tayside,DD4 6PP,56.47124,-2.955722,341219,731422
11058,S08000030,NHS Tayside,DD1 1PF,56.459166,-2.97752,339857,730097
11096,S08000030,NHS Tayside,DD2 2HZ,56.468636,-3.006672,338076,731177
11128,S08000030,NHS Tayside,DD4 6EL,56.467536,-2.957224,341121,731011
11166,S08000030,NHS Tayside,DD3 8DB,56.47574,-2.981198,339657,731945
11171,S08000030,NHS Tayside,DD2 4AD,56.466205,-3.045349,335689,730942
11289,S08000030,NHS Tayside,DD4 6DG,56.467034,-2.958185,341061,730956
11306,S08000030,NHS Tayside,DD5 1EP,56.466597,-2.877635,346023,730841
11363,S08000030,NHS Tayside,DD1 5LA,56.45729,-2.99083,339034,729900
11382,S08000030,NHS Tayside,DD4 6RB,56.468182,-2.959593,340976,731085
11414,S08000030,NHS Tayside,DD1 4JH,56.456764,-2.990456,339056,729841
11486,S08000030,NHS Tayside,DD4 6QY,56.469351,-2.960755,340906,731216
11645,S08000030,NHS Tayside,DD4 6QY,56.469351,-2.960755,340906,731216
11650,S08000030,NHS Tayside,DD4 6SW,56.47139,-2.958437,341052,731441
11823,S08000030,NHS Tayside,DD3 8NE,56.487742,-2.992692,338968,733291
11861,S08000030,NHS Tayside,DD3 6NF,56.468396,-2.974868,340035,731122
11931,S08000030,NHS Tayside,DD4 7AA,56.473475,-2.957207,341131,731672
12210,S08000030,NHS Tayside,DD2 2HZ,56.468636,-3.006672,338076,731177
12281,S08000030,NHS Tayside,DD1 1PB,56.457658,-2.976281,339931,729928
12831,S08000030,NHS Tayside,DD2 3BR,56.470768,-3.009605,337899,731417
12901,S08000030,NHS Tayside,DD4 0HJ,56.491738,-2.927962,342960,733680
12991,S08000030,NHS Tayside,DD4 6PX,56.472087,-2.956571,341168,731517
13049,S08000030,NHS Tayside,PH8 0AD,56.561881,-3.586102,302619,742228
13091,S08000030,NHS Tayside,DD9 7TA,56.810989,-2.656648,360006,769023
13142,S08000030,NHS Tayside,PH2 7TD,56.403015,-3.198411,326136,724063
13195,S08000030,NHS Tayside,DD8 2AE,56.642738,-2.889521,345545,750456
13231,S08000030,NHS Tayside,DD8 2HA,56.644237,-2.882121,346001,750617
13284,S08000030,NHS Tayside,DD8 2AS,56.642254,-2.885771,345774,750399
13335,S08000030,NHS Tayside,DD11 4TX,56.637493,-2.665156,359299,749716
13369,S08000030,NHS Tayside,DD2 5AD,56.459529,-3.062435,334625,730215
13481,S08000030,NHS Tayside,KY13 8FP,56.215058,-3.42557,311684,703412
13496,S08000030,NHS Tayside,KY13 8FP,56.215058,-3.42557,311684,703412
13532,S08000030,NHS Tayside,DD8 4ES,56.67296,-3.006649,338411,753919
13571,S08000030,NHS Tayside,DD5 4LX,56.486277,-2.823158,349406,732990
13621,S08000030,NHS Tayside,DD10 8TY,56.710088,-2.456408,372157,757692
13660,S08000030,NHS Tayside,DD10 8TY,56.710088,-2.456408,372157,757692
13706,S08000030,NHS Tayside,DD10 8TY,56.710088,-2.456408,372157,757692
13848,S08000030,NHS Tayside,PH2 0JB,56.39442,-3.445843,310846,723400
13891,S08000030,NHS Tayside,PH1 1PP,56.397706,-3.444527,310935,723764
13941,S08000030,NHS Tayside,PH2 0JB,56.39442,-3.445843,310846,723400
13975,S08000030,NHS Tayside,PH1 5PD,56.398195,-3.435699,311481,723807
14037,S08000030,NHS Tayside,PH1 1NU,56.395329,-3.451143,310521,723508
14249,S08000030,NHS Tayside,PH1 1PP,56.397706,-3.444527,310935,723764
14291,S08000030,NHS Tayside,PH2 8HH,56.39481,-3.439331,311249,723435
14342,S08000030,NHS Tayside,PH1 5PD,56.398195,-3.435699,311481,723807
14501,S08000030,NHS Tayside,PH16 5FG,56.701709,-3.736691,293759,758014
14569,S08000030,NHS Tayside,PH1 4NN,56.482053,-3.44424,311150,733151
16013,S08000016,NHS Borders,TD1 1PF,55.618714,-2.812882,348902,636425
16032,S08000016,NHS Borders,TD8 6EN,55.478633,-2.552702,365164,620674
16047,S08000016,NHS Borders,TD9 0RU,55.181634,-2.8117,348409,587783
16051,S08000016,NHS Borders,TD6 0PP,55.577331,-2.671302,357774,631724
16066,S08000016,NHS Borders,TD11 3XP,55.801255,-2.209914,386939,656461
16085,S08000016,NHS Borders,TD7 4LJ,55.550389,-2.839332,347144,628841
16121,S08000016,NHS Borders,EH44 6QE,55.616012,-3.066984,332894,636341
16136,S08000016,NHS Borders,TD5 7LF,55.603653,-2.430439,372978,634533
16141,S08000016,NHS Borders,TD9 9HU,55.423261,-2.784847,350422,614653
16160,S08000016,NHS Borders,EH45 8JG,55.651475,-3.197832,324721,640422
16174,S08000016,NHS Borders,EH46 7EX,55.753298,-3.353197,315166,651933
16193,S08000016,NHS Borders,TD1 2UA,55.615928,-2.803453,349492,636108
16206,S08000016,NHS Borders,TD12 4LQ,55.647828,-2.26379,383497,639397
16211,S08000016,NHS Borders,EH45 8JG,55.651475,-3.197832,324721,640422
16230,S08000016,NHS Borders,TD1 2UA,55.615928,-2.803453,349492,636108
16244,S08000016,NHS Borders,TD1 2UA,55.615928,-2.803453,349492,636108
16259,S08000016,NHS Borders,TD1 2UA,55.615928,-2.803453,349492,636108
16475,S08000016,NHS Borders,TD10 6XJ,55.708046,-2.462029,371065,646164
16507,S08000016,NHS Borders,TD14 5DD,55.870977,-2.091499,394373,664205
16545,S08000016,NHS Borders,TD9 9DT,55.423127,-2.787494,350254,614640
16550,S08000016,NHS Borders,TD1 2SQ,55.691614,-2.865454,345692,644578
16564,S08000016,NHS Borders,TD4 6DW,55.636856,-2.679822,357302,638354
16583,S08000016,NHS Borders,TD11 3EL,55.772604,-2.341409,378680,653305
18057,S08000017,NHS Dumfries and Galloway,DG9 7DW,54.899755,-5.021908,206334,560297
18095,S08000017,NHS Dumfries and Galloway,DG9 7DW,54.899755,-5.021908,206334,560297
18112,S08000017,NHS Dumfries and Galloway,DG9 9QQ,54.688658,-4.894404,213537,536471
18131,S08000017,NHS Dumfries and Galloway,DG8 9JQ,54.868229,-4.444473,243228,555344
18151,S08000017,NHS Dumfries and Galloway,DG8 6NR,54.95962,-4.480468,241279,565592
18165,S08000017,NHS Dumfries and Galloway,DG8 0HH,54.913344,-4.607053,232984,560739
18184,S08000017,NHS Dumfries and Galloway,DG7 3EE,54.950099,-3.922315,276982,563408
18199,S08000017,NHS Dumfries and Galloway,DG6 4BJ,54.834508,-4.050589,268391,550781
18216,S08000017,NHS Dumfries and Galloway,DG7 3EE,54.950099,-3.922315,276982,563408
18235,S08000017,NHS Dumfries and Galloway,DG7 3RN,55.073066,-4.141012,263397,577496
18240,S08000017,NHS Dumfries and Galloway,DG5 4AZ,54.928247,-3.827504,282990,560814
18254,S08000017,NHS Dumfries and Galloway,DG2 8BY,54.979145,-3.618905,296487,566148
18273,S08000017,NHS Dumfries and Galloway,DG1 2PX,55.065135,-3.608125,297397,575700
18288,S08000017,NHS Dumfries and Galloway,DG1 1TR,55.096713,-3.586402,298864,579182
18305,S08000017,NHS Dumfries and Galloway,DG2 9BH,55.072505,-3.627012,296210,576548
18310,S08000017,NHS Dumfries and Galloway,DG1 4EJ,55.063914,-3.586764,298758,575533
18324,S08000017,NHS Dumfries and Galloway,DG4 6BT,55.36962,-3.925115,278091,610090
18339,S08000017,NHS Dumfries and Galloway,DG3 5AA,55.234944,-3.765602,287819,594837
18343,S08000017,NHS Dumfries and Galloway,DG2 0UJ,55.140435,-3.776017,286889,584338
18358,S08000017,NHS Dumfries and Galloway,DG11 2BJ,55.121768,-3.357863,313501,581663
18377,S08000017,NHS Dumfries and Galloway,DG11 1NH,55.128239,-3.440346,308256,582488
18381,S08000017,NHS Dumfries and Galloway,DG10 9ES,55.332083,-3.444687,308449,605176
18396,S08000017,NHS Dumfries and Galloway,DG10 9JP,55.333222,-3.446182,308357,605305
18409,S08000017,NHS Dumfries and Galloway,DG12 6GS,54.986385,-3.262707,319297,566484
18413,S08000017,NHS Dumfries and Galloway,DG12 6GN,54.986385,-3.262707,319297,566484
18428,S08000017,NHS Dumfries and Galloway,DG16 5NA,54.99368,-3.067785,331782,567088
18432,S08000017,NHS Dumfries and Galloway,DG14 0UX,55.078956,-2.952282,339301,576471
18447,S08000017,NHS Dumfries and Galloway,DG13 0JY,55.150836,-3.000173,336358,584512
18451,S08000017,NHS Dumfries and Galloway,DG11 3BT,55.058825,-3.264674,319317,574547
18560,S08000017,NHS Dumfries and Galloway,DG1 1DL,55.070556,-3.613758,297051,576312
18574,S08000017,NHS Dumfries and Galloway,DG9 9DP,54.810372,-4.962443,209725,550192
18589,S08000017,NHS Dumfries and Galloway,DG8 0PU,54.880735,-4.802585,220308,557596
18593,S08000017,NHS Dumfries and Galloway,DG9 7DW,54.899755,-5.021908,206334,560297
18611,S08000017,NHS Dumfries and Galloway,DG8 8PS,54.737091,-4.415065,244612,540690
20004,S08000029,NHS Fife,KY10 3FF,56.227403,-2.691821,357204,704087
20057,S08000029,NHS Fife,KY14 7AW,56.289672,-3.231356,323877,711484
20108,S08000029,NHS Fife,KY8 1HJ,56.175966,-3.039428,335566,698633
20151,S08000029,NHS Fife,KY3 9DF,56.058918,-3.230831,323451,685802
20184,S08000029,NHS Fife,KY3 9DF,56.058918,-3.230831,323451,685802
20254,S08000029,NHS Fife,KY5 0JE,56.14649,-3.26368,321584,695585
20305,S08000029,NHS Fife,KY4 9DH,56.110839,-3.351665,316040,691721
20358,S08000029,NHS Fife,KY4 8DF,56.087916,-3.372896,314669,689196
20409,S08000029,NHS Fife,KY15 4JN,56.323249,-3.016375,337239,715004
20413,S08000029,NHS Fife,KY15 4JN,56.323249,-3.016375,337239,715004
20451,S08000029,NHS Fife,KY11 4TF,56.066146,-3.452002,309696,686874
20466,S08000029,NHS Fife,KY12 0BL,56.082433,-3.43309,310911,688662
20471,S08000029,NHS Fife,KY11 3BA,56.061232,-3.446517,310026,686320
20485,S08000029,NHS Fife,KY11 4JW,56.067587,-3.450996,309762,687033
20490,S08000029,NHS Fife,KY12 0AE,56.075196,-3.449174,309893,687877
20502,S08000029,NHS Fife,KY11 4LT,56.065635,-3.417079,311869,686772
20606,S08000029,NHS Fife,KY6 1HL,56.195536,-3.19464,325968,700967
20611,S08000029,NHS Fife,KY7 6SX,56.207951,-3.168392,327620,702321
20630,S08000029,NHS Fife,KY6 1HL,56.195536,-3.19464,325968,700967
20659,S08000029,NHS Fife,KY7 4AQ,56.190652,-3.158166,328222,700385
20663,S08000029,NHS Fife,KY7 4RH,56.182676,-3.162873,327915,699502
20729,S08000029,NHS Fife,KY12 8SJ,56.061722,-3.596589,300683,686580
20752,S08000029,NHS Fife,KY11 1NU,56.029635,-3.39692,313043,682740
20803,S08000029,NHS Fife,KY4 0AE,56.134212,-3.380949,314271,694358
20856,S08000029,NHS Fife,KY8 5JZ,56.209438,-3.04672,335170,702365
20907,S08000029,NHS Fife,KY3 9RT,56.069207,-3.175467,326918,686887
20950,S08000029,NHS Fife,KY1 1PH,56.106707,-3.16489,327647,691049
20964,S08000029,NHS Fife,KY1 2NA,56.12717,-3.159346,328030,693321
20979,S08000029,NHS Fife,KY2 5RB,56.117822,-3.174006,327101,692296
20983,S08000029,NHS Fife,KY1 1ER,56.111403,-3.162023,327834,691569
20998,S08000029,NHS Fife,KY1 2PG,56.119606,-3.147714,328739,692467
21007,S08000029,NHS Fife,KY1 2NA,56.12717,-3.159346,328030,693321
21011,S08000029,NHS Fife,KY1 2NA,56.12717,-3.159346,328030,693321
21026,S08000029,NHS Fife,KY1 2NA,56.12717,-3.159346,328030,693321
21101,S08000029,NHS Fife,KY15 7JS,56.274422,-3.123974,330496,709673
21153,S08000029,NHS Fife,KY6 3LQ,56.200651,-3.218154,324519,701562
21204,S08000029,NHS Fife,KY16 0DZ,56.375683,-2.93304,342472,720767
21257,S08000029,NHS Fife,KY8 4ET,56.196843,-2.998477,338142,700919
21276,S08000029,NHS Fife,KY8 4ET,56.196843,-2.998477,338142,700919
21281,S08000029,NHS Fife,KY8 4ET,56.196843,-2.998477,338142,700919
21308,S08000029,NHS Fife,KY11 3ED,56.03587,-3.500364,306612,683569
21384,S08000029,NHS Fife,KY5 9QZ,56.128878,-3.311964,318547,693681
21421,S08000029,NHS Fife,KY5 8DA,56.156133,-3.321828,317992,696726
21435,S08000029,NHS Fife,KY5 9QZ,56.128878,-3.311964,318547,693681
21440,S08000029,NHS Fife,KY5 9QZ,56.128878,-3.311964,318547,693681
21454,S08000029,NHS Fife,KY7 6ER,56.202222,-3.13242,329841,701646
21505,S08000029,NHS Fife,KY8 3HR,56.186063,-3.03005,336165,699748
21510,S08000029,NHS Fife,KY8 3RS,56.187062,-3.001577,337934,699833
21558,S08000029,NHS Fife,KY14 6DA,56.350887,-3.24019,323453,718307
21609,S08000029,NHS Fife,DD6 8DJ,56.437943,-2.935798,342396,727699
21651,S08000029,NHS Fife,KY12 9QH,56.085423,-3.567372,302562,689176
21666,S08000029,NHS Fife,KY12 9QH,56.085423,-3.567372,302562,689176
21736,S08000029,NHS Fife,KY10 2LG,56.214059,-2.729599,354846,702626
21755,S08000029,NHS Fife,KY11 2ZL,56.045465,-3.431639,310916,684546
21760,S08000029,NHS Fife,KY11 2SE,56.04009,-3.417424,311789,683930
21806,S08000029,NHS Fife,KY16 8AR,56.327485,-2.805652,350277,715303
21811,S08000029,NHS Fife,KY16 8AR,56.327485,-2.805652,350277,715303
21825,S08000029,NHS Fife,KY16 8AR,56.327485,-2.805652,350277,715303
25012,S08000019,NHS Forth Valley,FK10 3JQ,56.124693,-3.783555,289224,693873
25027,S08000019,NHS Forth Valley,FK10 3JQ,56.124693,-3.783555,289224,693873
25031,S08000019,NHS Forth Valley,FK10 3JQ,56.124693,-3.783555,289224,693873
25046,S08000019,NHS Forth Valley,FK12 5BD,56.151928,-3.803492,288064,696936
25051,S08000019,NHS Forth Valley,G63 0TS,56.068068,-4.336037,254672,688598
25065,S08000019,NHS Forth Valley,G63 9EG,55.984168,-4.305773,256244,679199
25070,S08000019,NHS Forth Valley,EH51 0DQ,56.012037,-3.613681,299490,681076
25084,S08000019,NHS Forth Valley,EH51 0DQ,56.012037,-3.613681,299490,681076
25099,S08000019,NHS Forth Valley,EH51 9UE,56.00898,-3.601038,300270,680717
25101,S08000019,NHS Forth Valley,FK9 4EU,56.153124,-3.947889,279099,697313
25116,S08000019,NHS Forth Valley,FK17 8LX,56.238052,-4.199453,263777,707233
25121,S08000019,NHS Forth Valley,FK17 8LX,56.238052,-4.199453,263777,707233
25135,S08000019,NHS Forth Valley,FK10 4JA,56.107311,-3.75112,291191,691887
25169,S08000019,NHS Forth Valley,FK7 7JD,56.104608,-3.875979,283418,691790
25173,S08000019,NHS Forth Valley,FK6 6DB,56.022845,-3.908876,281121,682748
25188,S08000019,NHS Forth Valley,FK6 6GD,56.024809,-3.907994,281182,682965
25192,S08000019,NHS Forth Valley,FK4 1ED,56.00434,-3.89349,282023,680662
25205,S08000019,NHS Forth Valley,FK4 1ED,56.00434,-3.89349,282023,680662
25210,S08000019,NHS Forth Valley,FK14 7AA,56.162286,-3.670091,296378,697880
25224,S08000019,NHS Forth Valley,FK16 6DU,56.191844,-4.05242,272735,701810
25243,S08000019,NHS Forth Valley,FK15 9AL,56.187714,-3.970004,277835,701201
25262,S08000019,NHS Forth Valley,FK2 7AZ,56.005176,-3.776151,289342,680561
25277,S08000019,NHS Forth Valley,FK1 1BA,55.997724,-3.784356,288809,679745
25281,S08000019,NHS Forth Valley,FK2 7ES,56.0032,-3.786629,288683,680358
25309,S08000019,NHS Forth Valley,FK2 7HR,56.006002,-3.784866,288801,680667
25313,S08000019,NHS Forth Valley,FK1 4PP,56.002892,-3.814472,286946,680369
25332,S08000019,NHS Forth Valley,FK3 8AN,56.019464,-3.720347,292861,682063
25347,S08000019,NHS Forth Valley,G63 9NA,56.045743,-4.372326,252328,686191
25351,S08000019,NHS Forth Valley,FK21 8TQ,56.466527,-4.316551,257377,732894
25366,S08000019,NHS Forth Valley,FK8 3DZ,56.125264,-4.172633,265043,694630
25390,S08000019,NHS Forth Valley,FK5 3BB,56.025037,-3.818264,286774,682839
25402,S08000019,NHS Forth Valley,FK5 3BB,56.025037,-3.818264,286774,682839
25436,S08000019,NHS Forth Valley,FK2 0XF,55.987399,-3.72184,292679,678497
25441,S08000019,NHS Forth Valley,FK2 0XF,55.987399,-3.72184,292679,678497
25455,S08000019,NHS Forth Valley,FK2 0XF,55.987399,-3.72184,292679,678497
25460,S08000019,NHS Forth Valley,FK2 0XF,55.987399,-3.72184,292679,678497
25474,S08000019,NHS Forth Valley,FK1 3EZ,55.936627,-3.835628,285431,673030
25506,S08000019,NHS Forth Valley,FK8 2AU,56.1068,-3.935893,279699,692137
25525,S08000019,NHS Forth Valley,FK8 1PH,56.126951,-3.940145,279498,694387
25544,S08000019,NHS Forth Valley,FK13 6AG,56.152833,-3.746799,291588,696946
25559,S08000019,NHS Forth Valley,FK9 4NJ,56.149619,-3.917477,280977,696870
25582,S08000019,NHS Forth Valley,FK8 2QR,56.114315,-3.943643,279241,692987
25597,S08000019,NHS Forth Valley,FK5 3BB,56.025037,-3.818264,286774,682839
25600,S08000019,NHS Forth Valley,FK7 0HW,56.093656,-3.921767,280537,690650
25629,S08000019,NHS Forth Valley,FK8 3UQ,56.178301,-4.381099,252291,700959
25633,S08000019,NHS Forth Valley,FK8 3NB,56.116283,-4.297842,257228,693883
25648,S08000019,NHS Forth Valley,FK5 4HT,56.027435,-3.811371,287211,683095
25652,S08000019,NHS Forth Valley,FK2 7TA,56.017093,-3.792495,288357,681913
25671,S08000019,NHS Forth Valley,FK5 3BB,56.025037,-3.818264,286774,682839
25686,S08000019,NHS Forth Valley,FK8 2QD,56.115876,-3.939372,279511,693153
25691,S08000019,NHS Forth Valley,FK8 1JU,56.120392,-3.937363,279650,693652
25737,S08000019,NHS Forth Valley,FK8 1NJ,56.121858,-3.938467,279586,693817
25864,S08000019,NHS Forth Valley,FK3 9EW,56.010875,-3.711816,293369,681094
25883,S08000019,NHS Forth Valley,FK1 5SU,55.998619,-3.792655,288294,679858
25898,S08000019,NHS Forth Valley,G63 0DP,56.067081,-4.451785,247464,688738
30030,S08000020,NHS Grampian,AB10 7QQ,57.119461,-2.133779,391998,803177
30059,S08000020,NHS Grampian,AB10 1YE,57.142566,-2.114496,393170,805747
30078,S08000020,NHS Grampian,AB25 1QB,57.148654,-2.107243,393610,806424
30082,S08000020,NHS Grampian,AB11 7XH,57.135999,-2.107561,393589,805015
30203,S08000020,NHS Grampian,AB25 2AY,57.152874,-2.137437,391784,806897
30218,S08000020,NHS Grampian,AB15 4ZT,57.14255,-2.130954,392174,805747
30256,S08000020,NHS Grampian,AB21 9DG,57.176648,-2.182264,389079,809550
30261,S08000020,NHS Grampian,AB25 2XE,57.153704,-2.144471,391359,806990
30275,S08000020,NHS Grampian,AB11 8ER,57.134622,-2.088608,394735,804860
30280,S08000020,NHS Grampian,AB21 7NQ,57.206714,-2.176338,389446,812896
30307,S08000020,NHS Grampian,AB15 7YT,57.135837,-2.141785,391517,805001
30401,S08000020,NHS Grampian,AB12 5NA,57.120827,-2.10409,393796,803326
30504,S08000020,NHS Grampian,AB24 5RS,57.163584,-2.096705,394250,808085
30627,S08000020,NHS Grampian,AB24 5AU,57.1545,-2.087176,394825,807073
30701,S08000020,NHS Grampian,AB25 3TX,57.15743,-2.107929,393570,807401
30769,S08000020,NHS Grampian,AB16 5UU,57.166396,-2.158172,390533,808405
30805,S08000020,NHS Grampian,AB25 2RS,57.151314,-2.116143,393072,806721
30909,S08000020,NHS Grampian,AB10 1NW,57.142712,-2.122114,392709,805764
30913,S08000020,NHS Grampian,AB24 3NG,57.160786,-2.102037,393927,807774
30951,S08000020,NHS Grampian,AB10 1QB,57.143886,-2.11559,393104,805894
30971,S08000020,NHS Grampian,AB10 1UT,57.145567,-2.116479,393051,806081
31009,S08000020,NHS Grampian,AB15 8TB,57.158373,-2.225261,386473,807523
31141,S08000020,NHS Grampian,AB24 2AS,57.169355,-2.12202,392720,808730
31206,S08000020,NHS Grampian,AB22 8LD,57.180134,-2.102603,393896,809928
31211,S08000020,NHS Grampian,AB21 9AN,57.178294,-2.174995,389519,809732
31230,S08000020,NHS Grampian,AB15 9LQ,57.115254,-2.181359,389116,802715
31244,S08000020,NHS Grampian,AB14 0RP,57.098937,-2.25825,384452,800914
31259,S08000020,NHS Grampian,AB22 8ZP,57.182581,-2.136902,391823,810204
31333,S08000020,NHS Grampian,AB15 9EP,57.103699,-2.211477,387288,801434
